Number,target_variable,Ankle plantar/dorsiflexion angle(бу),Ankle in/eversion angle(бу),Hip ad/abduction angle(бу),Knee flex/extension angle(бу),Knee ad/abduction angle(бу),Knee in/external rotation angle(бу),M/L pelvic lean(бу),Vertical pelvic lean(бу),Vertical trunk lean(бу),M/L COM position(mm),Vertical COM position(mm)
179,11.83616232,24.6546,3.42289,2.16062,23.8844,10.7044,9.46611,0.411769,-0.982694,-2.96832,686.523,990.344
180,11.74621902,24.0052,3.33566,1.87606,22.6478,10.1902,8.54524,0.0511869,-0.866522,-3.65125,671.506,992.874
181,14.96663971,33.3498,4.4764,4.72386,45.303,14.0963,19.4719,-0.81101,-4.63243,-187.534,643.968,1008.83
182,15.08946095,33.5765,4.40676,4.34697,44.2508,13.3073,19.1745,-1.20328,-4.66697,-188.449,624.499,1010.18
183,15.15643982,33.5521,4.33083,3.92812,43.0704,12.4865,18.7937,-1.61447,-4.68999,-189.344,604.887,1011.99
184,15.13815455,33.2548,4.24984,3.46825,41.7664,11.6472,18.3306,-2.03984,-4.69444,-190.213,585.128,1014.23
185,15.03455169,32.6621,4.16434,2.96875,40.3418,10.8041,17.7824,-2.47477,-4.67331,-191.049,565.219,1016.89
186,14.84131303,31.7513,4.074,2.43156,38.7991,9.97231,17.142,-2.91504,-4.61996,-191.845,545.162,1019.93
187,10.62382089,27.9099,2.255,6.39666,40.7578,9.84416,-7.43741,0.0113203,-2.97764,-0.359223,720.725,970.094
188,10.74923072,28.1398,2.19449,6.09243,40.011,9.36742,-7.47212,-0.135594,-2.74901,-0.829646,705.542,971.477
189,10.82380623,28.2328,2.11748,5.76993,39.155,8.8503,-7.58793,-0.31109,-2.52592,-1.32304,690.337,973.189
190,10.83965522,28.1837,2.02527,5.43178,38.1952,8.30469,-7.78572,-0.513806,-2.31056,-1.83901,675.104,975.22
191,10.7898981,27.9866,1.91873,5.07986,37.1368,7.74175,-8.06732,-0.741999,-2.10421,-2.3758,659.839,977.554
192,10.67505867,27.6354,1.79833,4.71529,35.9849,7.1716,-8.43523,-0.993664,-1.90719,-2.93042,644.539,980.174
193,21.38566555,33.4989,3.92008,8.99698,43.2565,10.9867,10.7705,1.07107,-2.21128,-5.22491,742.961,946.677
194,21.8490927,33.6887,3.8502,8.38001,42.1276,10.4512,10.5034,0.705186,-1.93885,-5.69187,723.797,948.044
195,22.13198025,33.602,3.76634,7.71721,40.8415,9.91314,10.0813,0.32095,-1.64717,-6.1689,704.569,949.82
196,22.26202224,33.2339,3.66902,7.01947,39.424,9.38303,9.51002,-0.0772847,-1.34462,-6.65911,685.267,951.982
197,22.19221072,32.5797,3.55817,6.29703,37.9005,8.86922,8.79465,-0.484709,-1.03873,-7.16349,665.886,954.5
198,21.89637273,31.6349,3.4332,5.55936,36.2958,8.37772,7.94066,-0.896214,-0.735904,-7.68097,646.419,957.341
199,28.02779919,30.0558,1.18771,4.08032,37.489,1.62235,14.8933,6.13619,-10.1678,2.17895,626.552,866.842
200,28.49033416,30.2275,1.05171,3.13104,36.5344,0.806955,14.8725,5.45059,-10.1418,1.01644,611.221,869.411
201,28.79152472,30.206,0.905283,2.17893,35.4861,-7.88E-05,14.7812,4.75575,-10.1006,-0.153069,595.81,872.259
202,28.90216468,29.9723,0.750654,1.23506,34.3465,-0.758898,14.603,4.05778,-10.0419,-1.31963,580.319,875.369
